movieNm,director,company,distributor,openDt,nation,screen_cnt,audi_cnt,genre,rating,audi_score,exp_score,holiday,actor1,actor2,actor3,actor4,dir_score,actor1_score,actor2_score,actor3_score,actor4_score,dist_score,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,SF,Thriller,War,12_rating,15_rating,20_rating,all_rating
음란한 가족,신정균,(주)KW비젼,KW비젼,2015-09-24,한국,21,473,Comedy,20_rating,3.41,2.49,1,한수아,한가림,한성식,백익남,8307,8913,473,473,473,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
란제리살인사건,김세성,(주)노리픽쳐스,노리픽쳐스,2015-09-17,한국,20,472,Thriller,20_rating,6.16,4.49,1,권민중,원기준,권해성,김병춘,472,472,31713,472,472,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
양아치 느와르,강효진,(주)키노크러시,영화사 그램,2018-09-13,한국,6,455,Drama,20_rating,9,6.56,1,김병철,곽지유,김영용,서승원,1901684,455,455,455,455,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
친구엄마,공자관,밀크픽처스,노바엔터테인먼트,2015-11-12,한국,20,359,Romance,20_rating,8.5,6.75,0,김영삼,아리,시영,김해진,1161,359,359,359,359,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
낮손님,박세민,박세민무비프로덕션,시네마 뉴원,2020-04-15,한국,19,345,Mystery,20_rating,7.5,5.47,0,박세민,정지혜,이백길,이채담,345,345,345,345,616,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
나가요 미스콜,한동호,스카이동,노바엔터테인먼트,2014-03-13,한국,4,338,Romance,20_rating,3,1.5,0,최종훈,한규리,민송아,태우,2070,8913,338,338,338,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
화창한 그날들,방현준,비에이치제이 시네마,씨네로닷컴,2014-03-14,한국,2,310,Thriller,20_rating,4.66,3.4,0,김동하,이미애,이제관,서제일,310,310,310,310,310,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
탐욕,김정욱,주식회사 루믹스미디어,주식회사 루믹스미디어,2016-05-12,한국,20,301,Romance,20_rating,7.07,5.15,0,김민기,코가와 이오리,안소리,김병순,301,616,301,301,301,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
홈 스위트 홈,문시현,,이미지팩토리,2012-03-15,한국,5,297,Drama,20_rating,6.6,2,0,김영훈,유애경,이광수,백설아,297,297,297,4598583,297,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
캘린더걸,강현철,스마일컨텐츠,유비네트워크,2016-04-07,한국,20,295,Romance,20_rating,7,5.1,0,이소희,민혁,권영호,주연서,295,295,295,295,295,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
P.S. 걸,원석호,전망 PRODUCTION,전망 PRODUCTION,2016-02-04,한국,21,285,Thriller,20_rating,7.02,5.12,1,비키,씨와이,권해성,이은미,285,285,285,472,5021,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
