movieNm,director,company,distributor,openDt,nation,screen_cnt,audi_cnt,genre,rating,audi_score,exp_score,holiday,actor1,actor2,actor3,actor4,dir_score,actor1_score,actor2_score,actor3_score,actor4_score,dist_score,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,SF,Thriller,War,12_rating,15_rating,20_rating,all_rating
밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아,2016-09-07,한국,1444,7487545,Action,15_rating,8.57,7.5,1,송강호,공유,한지민,엄태구,7487545,12099971,11565078,7487545,7487545,1104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",롯데엔터테인먼트,2011-08-10,한국,615,7466976,History,15_rating,7.87,6.8,1,박해일,류승룡,김무열,문채원,17613682,7466976,17613682,7466976,7466976,1340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",씨제이이앤엠,2011-05-04,한국,472,7328820,Drama,15_rating,9.11,6.71,0,유호정,심은경,강소라,고수희,7328820,7328820,8656397,7328820,7328820,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1987,장준환,(주)우정필름,씨제이이앤엠,2017-12-27,한국,1299,7231638,Drama,15_rating,9.31,8.08,1,김윤석,하정우,유해진,김태리,7231638,12983330,14410754,13395400,7231638,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",씨제이이앤엠,2013-01-30,한국,894,7166199,Action,15_rating,7.83,7.89,1,하정우,한석규,류승범,전지현,13395400,14410754,7166199,7166199,12983330,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
마스터,조의석,영화사 집,씨제이이앤엠,2016-12-21,한국,1501,7150541,Action,15_rating,8.65,5.77,1,이병헌,강동원,김우빈,엄지원,7150541,12319542,9699092,7150541,7150541,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",쇼박스,2016-08-10,한국,1105,7118592,Drama,12_rating,8.63,7.21,1,하정우,배두나,오달수,정석용,7817446,14410754,7118592,14245998,7118592,1500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
내부자들,우민호,(유)내부자들 문화전문회사,쇼박스,2015-11-19,한국,1075,7071763,Crime,20_rating,9.06,6.63,0,이병헌,조승우,백윤식,이경영,7071763,12319542,7071763,9134586,8646758,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
인천상륙작전,이재한,(주)태원엔터테인먼트,씨제이이앤엠,2016-07-27,한국,1049,7049643,War,12_rating,8.55,3.41,0,이정재,이범수,리암 니슨,진세연,7049643,12983330,7049643,7049643,7049643,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
럭키,이계벽,(주)용필름,쇼박스,2016-10-13,한국,1158,6965706,Comedy,15_rating,8.76,5.68,0,유해진,이준,조윤희,임지연,6965706,13395400,6965706,6965706,6965706,1500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
은밀하게 위대하게,장철수,(주)엠씨엠씨,쇼박스,2013-06-05,한국,1341,6953800,Action,15_rating,7.12,4.88,0,김수현,박기웅,이현우,손현주,6953800,6953800,6953800,6953800,6953800,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아,2016-05-12,한국,1485,6878264,Mystery,15_rating,8.22,8.18,0,곽도원,황정민,쿠니무라 준,천우희,6878264,11372451,14245998,6878264,6878264,773,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",메가박스중앙플러스엠,2017-10-03,한국,1315,6851297,Crime,20_rating,9.28,6,1,마동석,윤계상,조재윤,최귀화,6851297,12253247,6851297,6851297,6851297,1049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
늑대소년,조성희,(주)영화사비단길,씨제이이앤엠,2012-10-31,한국,706,6654837,Romance,15_rating,8.65,6.35,0,송중기,박보영,장영남,유연석,6654837,6654837,6654837,7817446,6654837,1281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
군함도,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠,2017-07-26,한국,2027,6592151,Action,15_rating,7.35,6.17,0,황정민,소지섭,송중기,이정현,13395400,14245998,6592151,6654837,6592151,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
사도,이준익,(주)타이거픽쳐스,쇼박스,2015-09-16,한국,1210,6246849,History,12_rating,8.49,7.54,1,송강호,유아인,문근영,전혜진,6246849,12099971,13395400,6246849,8252669,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
연평해전,김학순,(주)로제타시네마,넥스트엔터테인먼트월드(NEW),2015-06-24,한국,1013,6043458,Drama,12_rating,9.14,4.94,0,김무열,진구,이현우,김지훈,6043458,7466976,17613682,6953800,6043458,1058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데엔터테인먼트,2017-08-09,한국,1102,5636259,Action,15_rating,9.03,5.1,0,박서준,강하늘,성동일,박하선,5636259,5636259,5636259,8656397,5636259,1340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
숨바꼭질,허정,(주)드림캡쳐,넥스트엔터테인먼트월드(NEW),2013-08-14,한국,779,5602543,Thriller,15_rating,6.77,6.03,0,손현주,문정희,전미선,김원해,5602543,6953800,5602543,5602543,5602543,1058,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데엔터테인먼트,2016-08-03,한국,964,5593551,History,12_rating,8.72,5.95,1,손예진,박해일,라미란,정상훈,5593551,8646758,7466976,5593551,5593551,1340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
더 테러 라이브,김병우,(주)씨네이천,롯데엔터테인먼트,2013-07-31,한국,743,5583596,Crime,15_rating,8.28,7.06,0,하정우,이경영,전혜진,이다윗,5583596,14410754,8646758,8252669,5583596,1340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
감시자들,조의석,영화사 집,넥스트엔터테인먼트월드(NEW),2013-07-03,한국,949,5496547,Crime,15_rating,7.76,7.13,0,설경구,정우성,한효주,김병옥,7150541,5496547,5496547,12319542,5496547,1058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
검은 사제들,장재현,영화사 집,씨제이이앤엠,2015-11-05,한국,1088,5440945,Mystery,15_rating,8.55,6.23,0,김윤석,강동원,박소담,김의성,5440945,12983330,9699092,5440945,5440945,1281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",넥스트엔터테인먼트월드(NEW),2018-09-19,한국,1540,5440186,History,12_rating,8.63,6.22,1,조인성,남주혁,박성웅,배성우,5440186,5440186,5440186,9699092,5440186,1058,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
더 킹,한재림,(주)우주필름,넥스트엔터테인먼트월드(NEW),2017-01-18,한국,1310,5316325,Crime,15_rating,8.39,6.83,1,조인성,정우성,배성우,김아중,9134586,5440186,5496547,5440186,5316325,1058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",씨제이이앤엠,2011-10-20,한국,500,5310510,Drama,12_rating,8.78,6.86,0,김윤석,유아인,박수영,이자스민,5310510,12983330,13395400,5310510,5310510,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",롯데엔터테인먼트,2018-10-31,한국,1313,5294119,Drama,15_rating,9.08,6.13,0,유해진,조진웅,이서진,염정아,5294119,13395400,17613682,5294119,5294119,1340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠,2012-12-25,한국,617,5181014,Drama,12_rating,8.03,5.53,1,설경구,손예진,김상경,김인권,5181014,5496547,8646758,5181014,12319542,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
독전,이해영,(주)용필름,넥스트엔터테인먼트월드(NEW),2018-05-22,한국,1357,5063620,Crime,15_rating,8.41,5.29,0,조진웅,류준열,김주혁,김성령,5063620,17613682,12099971,7817446,5063620,1058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠,2018-08-08,한국,1317,4971261,Drama,12_rating,7.86,6.93,0,황정민,이성민,조진웅,주지훈,4971261,14245998,9699092,17613682,14410754,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",넥스트엔터테인먼트월드(NEW),2012-08-08,한국,694,4897551,Comedy,12_rating,7.59,5.75,0,차태현,오지호,민효린,성동일,4897551,14410754,4897551,4897551,8656397,1058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),쇼박스,2011-01-27,한국,611,4786259,Comedy,12_rating,8.12,5.68,1,김명민,오달수,한지민,이재용,4786259,4786259,14245998,7487545,4786259,1500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
봉오동 전투,원신연,"(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",쇼박스,2019-08-07,한국,1476,4779501,History,15_rating,9.06,5.3,0,유해진,류준열,조우진,키타무라 카즈키,4779501,13395400,12099971,4779501,4779501,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
군도: 민란의 시대,윤종빈,"(주)영화사 월광,(주)쇼박스",쇼박스,2014-07-23,한국,1394,4774895,History,15_rating,7.34,7.11,0,하정우,강동원,이경영,이성민,4971261,14410754,9699092,8646758,9699092,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
남산의 부장들,우민호,(주)하이브미디어코프,쇼박스,2020-01-22,한국,1659,4750104,Drama,15_rating,8.47,6.9,1,이병헌,이성민,곽도원,이희준,7071763,12319542,9699092,11372451,4750104,1500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",쇼박스,2012-02-02,한국,699,4710454,Crime,20_rating,8.63,7.5,0,최민식,하정우,조진웅,마동석,4971261,17613682,14410754,17613682,12253247,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",넥스트엔터테인먼트월드(NEW),2013-02-21,한국,671,4682492,Crime,20_rating,9.5,7.22,1,이정재,최민식,황정민,박성웅,4682492,12983330,17613682,14245998,9699092,1058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
도가니,황동혁,"(주)삼거리픽쳐스,(주)판타지오",씨제이이앤엠,2011-09-22,한국,644,4662822,Drama,20_rating,9.27,6.92,1,공유,정유미,김현수,정인서,8656397,11565078,11565078,4662822,4662822,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
내 아내의 모든 것,민규동,"(주)수필름,영화사 집",넥스트엔터테인먼트월드(NEW),2012-05-17,한국,563,4598583,Comedy,15_rating,8.57,6.77,1,임수정,이선균,류승룡,이광수,4598583,4598583,10313087,17613682,4598583,1058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
나쁜 녀석들: 더 무비,손용호,"씨제이이앤엠(주),(주)영화사비단길",씨제이이앤엠,2019-09-11,한국,1511,4573902,Crime,15_rating,8.16,4.83,1,마동석,김상중,김아중,장기용,4573902,12253247,4573902,5316325,4573902,1281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
판도라,박정우,(주)씨에이씨엔터테인먼트,넥스트엔터테인먼트월드(NEW),2016-12-07,한국,1166,4571142,Drama,12_rating,8.78,5.92,0,김남길,김주현,정진영,김영애,4571142,8646758,4571142,14245998,11372451,1058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
연가시,박정우,(주)오죤필름,씨제이이앤엠,2012-07-05,한국,759,4513026,Horror,15_rating,7.18,5.46,0,김명민,문정희,김동완,이하늬,4571142,4786259,5602543,4513026,16264944,1281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",넥스트엔터테인먼트월드(NEW),2017-12-14,한국,1426,4451336,Action,15_rating,8.73,7.18,1,정우성,곽도원,김갑수,김의성,11372451,5496547,11372451,4451336,5440945,1058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠,2016-06-01,한국,1171,4277071,Thriller,20_rating,7.69,7.68,1,김민희,김태리,하정우,조진웅,4277071,4277071,7231638,14410754,17613682,1281,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
용의자,원신연,"(주)그린피쉬,(주)쇼박스",쇼박스,2013-12-24,한국,807,4131248,Action,15_rating,8.27,6.47,1,공유,박희순,조성하,유다인,4779501,11565078,4131248,7759473,4131248,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
건축학개론,이용주,(주)명필름,롯데엔터테인먼트,2012-03-22,한국,593,4110645,Romance,12_rating,9.5,7.19,0,엄태웅,한가인,이제훈,수지,4110645,4110645,4110645,4110645,4110645,1340,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
댄싱퀸,이석훈,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠,2012-01-18,한국,534,4057546,Comedy,12_rating,8.87,6,1,황정민,엄정화,이한위,정성화,8646758,14245998,4057546,4057546,4057546,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
꾼,장창원,(주)영화사두둥,쇼박스,2017-11-22,한국,1314,4018341,Crime,15_rating,8.32,4.4,0,현빈,유지태,배성우,박성웅,4018341,7817446,4018341,5440186,9699092,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
타짜-신의 손,강형철,(주)싸이더스,롯데엔터테인먼트,2014-09-03,한국,890,4001813,Drama,20_rating,7.76,6.11,1,T.O.P,신세경,곽도원,이하늬,7328820,4001813,4001813,11372451,16264944,1340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
박수건달,조진규,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",쇼박스,2013-01-09,한국,599,3893216,Comedy,15_rating,8.11,6.33,0,박신양,김정태,엄지원,정혜영,3893216,3893216,3893216,7150541,3893216,1500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),쇼박스,2015-02-11,한국,811,3872015,History,12_rating,8.07,5.85,1,김명민,오달수,이연희,조관우,4786259,4786259,14245998,3872015,3872015,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
역린,이재규,"굿초이스컷픽쳐스(주),(주)파파스필름",롯데엔터테인먼트,2014-04-30,한국,1054,3849433,History,15_rating,7.43,5.64,1,현빈,정재영,조정석,조재현,5294119,7817446,3849433,9426051,3849433,1340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
남한산성,황동혁,(주)싸이런픽쳐스,씨제이이앤엠,2017-10-03,한국,1229,3829891,History,15_rating,8.17,7.5,1,이병헌,김윤석,박해일,고수,8656397,12319542,12983330,7466976,3829891,1281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
암수살인,김태균,"(주)필름295,(주)블러썸픽쳐스",쇼박스,2018-10-03,한국,1177,3772620,Crime,15_rating,8.58,8.14,0,김윤석,주지훈,진선규,정종준,3772620,12983330,14410754,16264944,3772620,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
국가부도의 날,최국희,영화사 집,씨제이이앤엠,2018-11-28,한국,1180,3754983,Drama,12_rating,8.71,6.5,0,김혜수,유아인,허준호,조우진,3754983,12983330,13395400,3754983,4779501,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
82년생 김지영,김도영,(주)봄바람영화사,롯데엔터테인먼트,2019-10-23,한국,1486,3679019,Drama,12_rating,9.13,6.79,0,정유미,공유,김미경,공민정,3679019,11565078,11565078,3679019,3679019,1340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
귀향,조정래,주식회사 제이오엔터테인먼트코리아,와우픽쳐스,2016-02-24,한국,876,3586523,Drama,15_rating,9.33,5.8,0,강하나,최리,손숙,황화순,3586523,3586523,3586523,3586523,3586523,637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
신의 한 수,조범구,"(주)메이스엔터테인먼트,(주)아지트필름",쇼박스,2014-07-03,한국,794,3562123,Crime,20_rating,8.41,5.81,0,정우성,이범수,안성기,김인권,3562123,5496547,7049643,3562123,12319542,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
부러진 화살,정지영,(주)아우라픽처스,넥스트엔터테인먼트월드(NEW),2012-01-18,한국,453,3450941,Drama,15_rating,8.92,7.61,1,안성기,박원상,나영희,김지호,3450941,3562123,3450941,3450941,3450941,1058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
끝까지 간다,김성훈,"(주)에이디사공육,(주)다세포클럽",쇼박스,2014-05-29,한국,645,3450143,Action,15_rating,8.83,7.04,1,이선균,조진웅,신정근,정만식,7817446,10313087,17613682,3450143,3450143,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
스파이,이승준,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠,2013-09-05,한국,785,3423920,Action,15_rating,6.95,5.75,1,설경구,문소리,다니엘 헤니,고창석,3423920,5496547,3423920,3423920,3423920,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
그것만이 내 세상,최성현,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠,2018-01-17,한국,862,3417629,Comedy,12_rating,9.17,5.2,0,이병헌,윤여정,박정민,문숙,3417629,12319542,3417629,3417629,3417629,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
돈,박누리,"(주)사나이픽처스,(주)영화사 월광",쇼박스,2019-03-20,한국,1431,3389035,Crime,15_rating,8.39,5.5,0,류준열,유지태,조우진,김재영,3389035,12099971,4018341,4779501,3389035,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
악인전,이원태,(주)비에이엔터테인먼트,에이스메이커무비웍스,2019-05-15,한국,1307,3364079,Crime,20_rating,8.55,5.71,0,마동석,김무열,김성규,유승목,3364079,12253247,7466976,3364079,3364079,1196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
시동,최정열,(주)외유내강,넥스트엔터테인먼트월드(NEW),2019-12-18,한국,1515,3317038,Drama,15_rating,8.68,6,1,마동석,박정민,정해인,염정아,3317038,12253247,3417629,3317038,5294119,1058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
아이 캔 스피크,김현석,"주식회사 영화사 시선,(주)명필름",롯데엔터테인먼트,2017-09-21,한국,1140,3280243,Comedy,12_rating,9.23,7.25,1,나문희,이제훈,박철민,염혜란,3280243,8656397,4110645,3280243,3280243,1340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
반도,연상호,(주)영화사레드피터,넥스트엔터테인먼트월드(NEW),2020-07-15,한국,2575,3217793,Action,15_rating,7.27,6.17,0,강동원,이정현,이레,권해효,11565078,9699092,6592151,3217793,3217793,1058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아,2018-06-27,한국,1117,3189091,Mystery,15_rating,8.57,5.63,0,김다미,조민수,박희순,최우식,4682492,3189091,3189091,4131248,10313087,1104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
탐정: 리턴즈,이언희,(주)크리픽쳐스,씨제이이앤엠,2018-06-13,한국,1041,3148038,Comedy,15_rating,8.99,6,0,권상우,성동일,이광수,서영희,3148038,3148038,8656397,4598583,3148038,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
퀵,조범구,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠,2011-07-20,한국,512,3125069,Comedy,15_rating,7.85,6.06,0,이민기,강예원,김인권,고창석,3562123,3125069,3125069,12319542,3423920,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
감기,김성수,"아이러브시네마,(주)아이필름홀딩스,씨제이이앤엠(주)",아이러브시네마,2013-08-14,한국,806,3119023,Drama,15_rating,6.94,6.15,0,장혁,수애,박민하,유해진,3119023,3119023,3119023,3119023,13395400,806,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
스물,이병헌,"(주)영화나무,(주)아이에이치큐",넥스트엔터테인먼트월드(NEW),2015-03-25,한국,926,3044134,Comedy,15_rating,8.6,5.88,0,김우빈,준호,강하늘,정소민,16264944,7150541,3044134,5636259,3044134,1058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
오싹한 연애,황인호,상상필름(주),씨제이이앤엠,2011-12-01,한국,469,3001530,Horror,12_rating,8.54,5.78,0,손예진,이민기,박철민,김현숙,3001530,8646758,3125069,3280243,3001530,1281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
형,권수경,굿초이스컷픽쳐스(주),씨제이이앤엠,2016-11-23,한국,993,2982022,Comedy,12_rating,8.92,4.55,0,조정석,디오,박신혜,김강현,2982022,9426051,2982022,12811206,2982022,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
친구 2,곽경택,"(주)트리니티엔터테인먼트,(주)제이콘컴퍼니",롯데엔터테인먼트,2013-11-14,한국,968,2971475,Action,20_rating,6.22,5.5,0,유오성,주진모,김우빈,장영남,2971475,2971475,2971475,7150541,7817446,1340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26년,조근현,영화사청어람(주),인벤트스톤,2012-11-29,한국,604,2963449,Action,15_rating,6.4,5.73,0,진구,한혜진,임슬옹,배수빈,2963449,17613682,2963449,2963449,2963449,393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
고지전,장훈,(주)티피에스컴퍼니,쇼박스,2011-07-20,한국,585,2945137,Drama,15_rating,8.66,7.34,0,신하균,고수,이제훈,류승수,12099971,2945137,3829891,4110645,2945137,1500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
프리즌,나현,(주)큐로홀딩스,쇼박스,2017-03-23,한국,1047,2931897,Crime,20_rating,8.25,6,0,한석규,김래원,강신일,이경영,2931897,7166199,2931897,2931897,8646758,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
가장 보통의 연애,김한결,영화사 집,넥스트엔터테인먼트월드(NEW),2019-10-02,한국,1073,2917213,Romance,15_rating,8.54,6.33,0,김래원,공효진,강기영,정웅인,2917213,2931897,2917213,2917213,2917213,1058,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",쇼박스,2015-06-18,한국,894,2860786,Drama,15_rating,8.35,7.16,0,김윤석,유해진,송영창,이정은,2971475,12983330,13395400,2860786,2860786,1500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
표적,창감독,"(주)바른손이앤에이,(주)용필름",씨제이이앤엠,2014-04-30,한국,665,2841788,Action,15_rating,8.07,5.88,1,류승룡,유준상,이진욱,김성령,2841788,17613682,2841788,2841788,5063620,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
너의 결혼식,이석근,"(주)필름케이,(주)외유내강",메가박스중앙플러스엠,2018-08-22,한국,962,2820029,Romance,12_rating,9,6.57,0,박보영,김영광,강기영,고규필,2820029,6654837,2820029,2917213,2820029,1049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
말모이,엄유나,더램프(주),롯데엔터테인먼트,2019-01-09,한국,1203,2812444,Drama,12_rating,9.19,5.86,0,유해진,윤계상,김홍파,우현,2812444,13395400,6851297,2812444,2812444,1340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
내가 살인범이다,정병길,"(주)다세포클럽,(주)쇼박스",쇼박스,2012-11-08,한국,547,2721903,Action,20_rating,8.48,6.69,0,정재영,박시후,정해균,김영애,2721903,3849433,2721903,2721903,11372451,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
곤지암,정범식,(주)하이브미디어코프,쇼박스,2018-03-28,한국,1124,2675559,Horror,15_rating,7.51,6.33,0,위하준,박지현,오아연,문예원,2675559,2675559,2675559,2675559,2675559,1500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
소원,이준익,필름모멘텀,롯데엔터테인먼트,2013-10-02,한국,641,2663170,Drama,12_rating,9.33,7.46,0,설경구,엄지원,이레,김해숙,6246849,5496547,7150541,3217793,2663170,1340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
살인자의 기억법,원신연,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",쇼박스,2017-09-06,한국,1064,2656694,Crime,15_rating,8.17,5.78,0,설경구,김남길,설현,오달수,4779501,5496547,8646758,2656694,14245998,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
탐정 : 더 비기닝,김정훈,(주)크리픽쳐스,씨제이이앤엠,2015-09-24,한국,764,2625686,Comedy,15_rating,8.62,5.9,1,권상우,성동일,서영희,박해준,2625686,3148038,8656397,3148038,2625686,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
후궁 : 제왕의 첩,김대승,(주)황기성 사단,롯데엔터테인먼트,2012-06-06,한국,624,2621436,History,20_rating,6.91,6,0,조여정,김동욱,김민준,박지영,2621436,10313087,2621436,2621436,2621436,1340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
지금 만나러 갑니다,이장훈,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데엔터테인먼트,2018-03-14,한국,1163,2602273,Romance,12_rating,8.98,5.5,0,소지섭,손예진,김지환,고창석,2602273,6592151,8646758,2602273,3423920,1340,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
위험한 상견례,김진영,(주)전망좋은 영화사,롯데엔터테인먼트,2011-03-31,한국,524,2595625,Comedy,12_rating,7.63,5.61,0,송새벽,이시영,백윤식,김수미,2595625,2595625,2595625,9134586,2595625,1340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
